pentagon index	x	y	z	x_c	y_c	z_c
5	62.398094821300624	-10.865524559326222	0.0	74.41442193813072	0.0	1
5	81.83843802484806	16.046113529213482	0.0	74.41442193813072	0.0	1
5	81.83843802484806	-16.046113529213482	0.0	74.41442193813072	0.0	1
5	92.70396258417428	0.0	0.0	74.41442193813072	0.0	1
6	169.36181163913506	-35.48645673276092	0.0	157.345484522305	-46.35198129208714	1
6	169.36181163913508	-57.217505851413364	0.0	157.345484522305	-46.35198129208714	1
6	149.92146843558766	-30.305867762873657	0.0	157.345484522305	-46.35198129208714	1
6	149.92146843558766	-62.398094821300624	0.0	157.345484522305	-46.35198129208714	1
6	139.0559438762614	-46.35198129208714	0.0	157.345484522305	-46.35198129208714	1
7	108.75007611338776	-35.48645673276092	0.0	120.76640323021783	-46.35198129208714	1
7	108.75007611338776	-57.217505851413364	0.0	120.76640323021783	-46.35198129208714	1
7	128.1904193169352	-30.305867762873657	0.0	120.76640323021783	-46.35198129208714	1
7	128.1904193169352	-62.398094821300624	0.0	120.76640323021783	-46.35198129208714	1
7	139.0559438762614	-46.35198129208714	0.0	120.76640323021783	-46.35198129208714	1
8	215.7137929312222	10.865524559326222	0.0	203.69746581439213	0.0	1
8	215.7137929312222	-10.865524559326222	0.0	203.69746581439213	0.0	1
8	196.27344972767477	16.046113529213482	0.0	203.69746581439213	0.0	1
8	196.27344972767477	-16.046113529213482	0.0	203.69746581439213	0.0	1
8	185.40792516834856	0.0	0.0	203.69746581439213	0.0	1
9	155.1020574054749	10.865524559326222	0.0	167.11838452230498	0.0	1
9	155.1020574054749	-10.865524559326222	0.0	167.11838452230498	0.0	1
9	174.54240060902234	16.046113529213482	0.0	167.11838452230498	0.0	1
9	174.54240060902234	-16.046113529213482	0.0	167.11838452230498	0.0	1
9	185.40792516834856	0.0	0.0	167.11838452230498	0.0	1
10	262.06577422330935	-35.48645673276092	0.0	250.04944710647928	-46.35198129208714	1
10	262.06577422330935	-57.217505851413364	0.0	250.04944710647928	-46.35198129208714	1
10	242.62543101976192	-30.305867762873657	0.0	250.04944710647928	-46.35198129208714	1
10	242.62543101976192	-62.398094821300624	0.0	250.04944710647928	-46.35198129208714	1
10	231.7599064604357	-46.35198129208714	0.0	250.04944710647928	-46.35198129208714	1
11	201.45403869756205	-57.217505851413364	0.0	213.47036581439212	-46.35198129208714	1
11	201.45403869756203	-35.48645673276092	0.0	213.47036581439212	-46.35198129208714	1
11	220.89438190110948	-30.305867762873657	0.0	213.47036581439212	-46.35198129208714	1
11	220.89438190110948	-62.398094821300624	0.0	213.47036581439212	-46.35198129208714	1
11	231.7599064604357	-46.35198129208714	0.0	213.47036581439212	-46.35198129208714	1
12	308.4177555153965	10.865524559326222	0.0	296.4014283985664	0.0	1
12	308.4177555153965	-10.865524559326222	0.0	296.4014283985664	0.0	1
12	288.97741231184904	16.046113529213482	0.0	296.4014283985664	0.0	1
12	288.97741231184904	-16.046113529213482	0.0	296.4014283985664	0.0	1
12	278.1118877525228	0.0	0.0	296.4014283985664	0.0	1
13	247.80601998964917	10.865524559326222	0.0	259.82234710647924	0.0	1
13	247.80601998964917	-10.865524559326222	0.0	259.82234710647924	0.0	1
13	267.2463631931966	16.046113529213482	0.0	259.82234710647924	0.0	1
13	267.2463631931966	-16.046113529213482	0.0	259.82234710647924	0.0	1
13	278.1118877525228	0.0	0.0	259.82234710647924	0.0	1
14	354.76973680748364	-35.48645673276092	0.0	342.75340969065354	-46.35198129208714	1
14	354.76973680748364	-57.217505851413364	0.0	342.75340969065354	-46.35198129208714	1
14	335.3293936039362	-30.305867762873657	0.0	342.75340969065354	-46.35198129208714	1
14	335.3293936039362	-62.398094821300624	0.0	342.75340969065354	-46.35198129208714	1
14	324.46386904460996	-46.35198129208714	0.0	342.75340969065354	-46.35198129208714	1
15	294.1580012817363	-35.48645673276092	0.0	306.1743283985664	-46.35198129208714	1
