time	coordination	charge	err	sec	mT
850	4	0.03822222222222222	0.01491376142635443	850	10.625
860	3	-0.021333333333333333	0.009583665648927327	860	10.75
860	4	0.039466666666666664	0.0147804166687963	860	10.75
870	3	-0.021523809523809525	0.009514301467964004	870	10.875
870	4	0.04017777777777778	0.014625462948225346	870	10.875
880	3	-0.018857142857142857	0.009454319057460409	880	11.0
880	4	0.035555555555555556	0.014454800627164975	880	11.0
890	3	-0.022857142857142857	0.009372956886384646	890	11.125
890	4	0.04017777777777778	0.014255551468704606	890	11.125
900	3	-0.02038095238095238	0.009280839473278986	900	11.25
900	4	0.036088888888888886	0.014094869504213264	900	11.25
910	3	-0.016761904761904763	0.0092253086573661	910	11.375
910	4	0.029155555555555556	0.0138964379772476	910	11.375
920	3	-0.01561904761904762	0.009142439501942065	920	11.5
920	4	0.026844444444444445	0.01380442922035978	920	11.5
930	3	-0.014095238095238095	0.009095807164619508	930	11.625
930	4	0.024533333333333334	0.01361925013645003	930	11.625
940	3	-0.015904761904761904	0.009034627505243694	940	11.75
940	4	0.026844444444444445	0.013482407507483505	940	11.75
950	3	-0.015523809523809523	0.008929633428080362	950	11.875
950	4	0.026844444444444445	0.013418960235949387	950	11.875
960	3	-0.013142857142857144	0.00888092414887854	960	12.0
960	4	0.023822222222222224	0.013204586470491768	960	12.0
970	3	-0.016666666666666666	0.008795457396414361	970	12.125
970	4	0.031822222222222224	0.013093709401926962	970	12.125
980	3	-0.013428571428571429	0.008768867303082073	980	12.25
980	4	0.025955555555555555	0.012881925428604135	980	12.25
990	3	-0.013714285714285714	0.00867420268423237	990	12.375
990	4	0.02542222222222222	0.012777315057738235	990	12.375
1000	3	-0.01361904761904762	0.00862702444464993	1000	12.5
1000	4	0.024533333333333334	0.012566702755882342	1000	12.5
1010	3	-0.015238095238095238	0.008551916899391799	1010	12.625
1010	4	0.026844444444444445	0.012380029226050974	1010	12.625
1020	3	-0.015904761904761904	0.008490117174981306	1020	12.75
1020	4	0.027911111111111112	0.012295276336075146	1020	12.75
1030	3	-0.020095238095238097	0.008441477372130534	1030	12.875
1030	4	0.036444444444444446	0.012197787816627463	1030	12.875
1040	3	-0.018571428571428572	0.00838017203020288	1040	13.0
1040	4	0.03537777777777778	0.012070429932123957	1040	13.0
1050	3	-0.017904761904761906	0.008317225317692304	1050	13.125
1050	4	0.032	0.011895868192383963	1050	13.125
