time	coordination	charge	err	sec	mT
445	3	0.027555555555555555	0.011507412105595787	445	5.5625
445	4	-0.052977777777777776	0.018414431274978847	445	5.5625
450	3	0.026755555555555557	0.011499253300000912	450	5.625
450	4	-0.051555555555555556	0.018397617793532516	450	5.625
455	3	0.0288	0.011505216502340718	455	5.6875
455	4	-0.05528888888888889	0.01837000382729568	455	5.6875
460	3	0.030044444444444443	0.011500266510575922	460	5.75
460	4	-0.058133333333333335	0.01832960457963542	460	5.75
465	3	0.029333333333333333	0.01149485020157694	465	5.8125
465	4	-0.05653333333333333	0.01832401319058515	465	5.8125
470	3	0.03217777777777778	0.011501384103949332	470	5.875
470	4	-0.06222222222222222	0.018275737563622118	470	5.875
475	3	0.03262222222222222	0.011496518344663975	475	5.9375
475	4	-0.0632888888888889	0.018256377287705544	475	5.9375
480	3	0.03306666666666667	0.011488211278316434	480	6.0
480	4	-0.06453333333333333	0.01824473267398069	480	6.0
485	3	0.03573333333333333	0.011483728702374896	485	6.0625
485	4	-0.06968888888888888	0.018186650352210582	485	6.0625
490	3	0.037955555555555555	0.011477905788920235	490	6.125
490	4	-0.07324444444444445	0.018176715752508153	490	6.125
495	3	0.03902222222222222	0.01147017161745053	495	6.1875
495	4	-0.07626666666666666	0.018157341884534942	495	6.1875
500	3	0.040711111111111115	0.01147404334900923	500	6.25
500	4	-0.08	0.018158524872983636	500	6.25
505	3	0.042755555555555554	0.011466824084775108	505	6.3125
505	4	-0.08426666666666667	0.018109746049747574	505	6.3125
510	3	0.04426666666666667	0.011461055121759217	510	6.375
510	4	-0.08693333333333333	0.018095529873987472	510	6.375
515	3	0.04515555555555555	0.011465036879409161	515	6.4375
515	4	-0.08888888888888889	0.018116507106007977	515	6.4375
520	3	0.047822222222222224	0.011452833564339912	520	6.5
520	4	-0.09457777777777777	0.01808425787266223	520	6.5
525	3	0.050755555555555554	0.011449512294148966	525	6.5625
525	4	-0.1000888888888889	0.01805800660377113	525	6.5625
530	3	0.051555555555555556	0.011444521470262339	530	6.625
530	4	-0.10151111111111111	0.01806605079956514	530	6.625
535	3	0.05351111111111111	0.011442741507797028	535	6.6875
535	4	-0.10488888888888889	0.018031936344998136	535	6.6875
540	3	0.056	0.011442902692309784	540	6.75
540	4	-0.10968888888888889	0.0180074699313886	540	6.75
545	3	0.058133333333333335	0.01143897653447779	545	6.8125
545	4	-0.11395555555555556	0.017991065076803647	545	6.8125
550	3	0.06071111111111111	0.011435617827935306	550	6.875
550	4	-0.11982222222222222	0.01794985704179555	550	6.875
555	3	0.06364444444444445	0.01143214456784824	555	6.9375
555	4	-0.12515555555555555	0.01793428870665298	555	6.9375
560	3	0.06586666666666667	0.011420520429771352	560	7.0
560	4	-0.13048888888888888	0.017916801675268577	560	7.0
565	3	0.06924444444444444	0.011423091459659546	565	7.0625
565	4	-0.13706666666666667	0.01789036436875354	565	7.0625
570	3	0.07235555555555556	0.011422926137280187	570	7.125
570	4	-0.14417777777777777	0.01787832445153331	570	7.125
575	3	0.076	0.011408722552255068	575	7.1875
575	4	-0.15235555555555555	0.017845746817932686	575	7.1875
580	3	0.08	0.011400578230658407	580	7.25
