p	x_c	y_c
184	574.5133161510893	-370.81585033669717
185	537.9342348590021	-370.81585033669717
186	620.8652974431762	-417.16783162878426
187	584.2862161510892	-417.16783162878426
188	667.2172787352633	-370.81585033669717
189	630.6381974431763	-370.81585033669717
190	713.5692600273504	-417.16783162878426
191	676.9901787352635	-417.16783162878426
192	759.9212413194377	-370.81585033669717
193	723.3421600273508	-370.81585033669717
194	806.2732226115248	-417.16783162878426
195	769.6941413194377	-417.16783162878426
196	852.625203903612	-370.81585033669717
197	816.046122611525	-370.81585033669717
198	898.9771851956991	-417.16783162878426
199	862.3981039036121	-417.16783162878426
200	18.28954064604357	-463.51981292087135
201	-18.28954064604357	-463.51981292087135
202	64.64152193813071	-509.87179421295855
203	28.062440646043573	-509.87179421295855
204	110.99350323021784	-463.51981292087135
205	74.41442193813072	-463.51981292087135
206	157.345484522305	-509.87179421295855
207	120.76640323021783	-509.87179421295855
208	203.69746581439213	-463.51981292087135
209	167.11838452230498	-463.51981292087135
210	250.04944710647925	-509.87179421295855
211	213.4703658143921	-509.87179421295855
212	296.40142839856634	-463.51981292087135
213	259.82234710647924	-463.51981292087135
214	342.7534096906536	-509.87179421295855
215	306.1743283985664	-509.87179421295855
216	389.1053909827407	-463.51981292087135
217	352.52630969065353	-463.51981292087135
218	435.45737227482783	-509.87179421295855
219	398.8782909827407	-509.87179421295855
220	481.809353566915	-463.51981292087135
221	445.2302722748278	-463.51981292087135
222	528.1613348590022	-509.87179421295855
223	491.5822535669149	-509.87179421295855
224	574.5133161510893	-463.51981292087135
225	537.9342348590021	-463.51981292087135
226	620.8652974431762	-509.87179421295855
227	584.2862161510892	-509.87179421295855
228	667.2172787352633	-463.51981292087135
229	630.6381974431763	-463.51981292087135
230	713.5692600273504	-509.87179421295855
231	676.9901787352635	-509.87179421295855
232	759.9212413194377	-463.51981292087135
233	723.3421600273508	-463.51981292087135
234	806.2732226115248	-509.87179421295855
235	769.6941413194377	-509.87179421295855
236	852.625203903612	-463.51981292087135
237	816.046122611525	-463.51981292087135
238	898.9771851956991	-509.87179421295855
239	862.3981039036121	-509.87179421295855
240	18.28954064604357	-556.2237755050456
241	-18.28954064604357	-556.2237755050456
242	64.64152193813071	-602.5757567971327
243	28.062440646043573	-602.5757567971327
244	110.99350323021784	-556.2237755050456
245	74.41442193813072	-556.2237755050456
246	157.345484522305	-602.5757567971327
247	120.76640323021783	-602.5757567971327
248	203.69746581439213	-556.2237755050456
249	167.11838452230498	-556.2237755050456
250	250.04944710647925	-602.5757567971327
251	213.4703658143921	-602.5757567971327
252	296.40142839856634	-556.2237755050456
253	259.82234710647924	-556.2237755050456
254	342.7534096906536	-602.5757567971327
255	306.1743283985664	-602.5757567971327
256	389.1053909827407	-556.2237755050456
257	352.52630969065353	-556.2237755050456
258	435.45737227482783	-602.5757567971327
259	398.8782909827407	-602.5757567971327
260	481.809353566915	-556.2237755050456
261	445.2302722748278	-556.2237755050456
262	528.1613348590022	-602.5757567971327
263	491.5822535669149	-602.5757567971327
264	574.5133161510893	-556.2237755050456
265	537.9342348590021	-556.2237755050456
266	620.8652974431762	-602.5757567971327
267	584.2862161510892	-602.5757567971327
268	667.2172787352633	-556.2237755050456
269	630.6381974431763	-556.2237755050456
270	713.5692600273504	-602.5757567971327
271	676.9901787352635	-602.5757567971327
272	759.9212413194377	-556.2237755050456
273	723.3421600273508	-556.2237755050456
274	806.2732226115248	-602.5757567971327
275	769.6941413194377	-602.5757567971327
276	852.625203903612	-556.2237755050456
277	816.046122611525	-556.2237755050456
278	898.9771851956991	-602.5757567971327
279	862.3981039036121	-602.5757567971327
280	18.28954064604357	-648.9277380892199
281	-18.28954064604357	-648.9277380892199
282	64.64152193813071	-695.279719381307
283	28.062440646043573	-695.279719381307
284	110.99350323021784	-648.9277380892199
285	74.41442193813072	-648.9277380892199
286	157.345484522305	-695.279719381307
287	120.76640323021783	-695.279719381307
288	203.69746581439213	-648.9277380892199
289	167.11838452230498	-648.9277380892199
290	250.04944710647925	-695.279719381307
291	213.4703658143921	-695.279719381307
292	296.40142839856634	-648.9277380892199
293	259.82234710647924	-648.9277380892199
294	342.7534096906536	-695.279719381307
295	306.1743283985664	-695.279719381307
296	389.1053909827407	-648.9277380892199
297	352.52630969065353	-648.9277380892199
298	435.45737227482783	-695.279719381307
299	398.8782909827407	-695.279719381307
300	481.809353566915	-648.9277380892199
301	445.2302722748278	-648.9277380892199
302	528.1613348590022	-695.279719381307
303	491.5822535669149	-695.279719381307
304	574.5133161510893	-648.9277380892199
305	537.9342348590021	-648.9277380892199
306	620.8652974431762	-695.279719381307
307	584.2862161510892	-695.279719381307
308	667.2172787352633	-648.9277380892199
309	630.6381974431763	-648.9277380892199
310	713.5692600273504	-695.279719381307
311	676.9901787352635	-695.279719381307
312	759.9212413194377	-648.9277380892199
313	723.3421600273508	-648.9277380892199
314	806.2732226115248	-695.279719381307
315	769.6941413194377	-695.279719381307
316	852.625203903612	-648.9277380892199
317	816.046122611525	-648.9277380892199
318	898.9771851956991	-695.279719381307
319	862.3981039036121	-695.279719381307
320	18.28954064604357	-741.6317006733943
321	-18.28954064604357	-741.6317006733943
322	64.64152193813071	-787.9836819654813
323	28.062440646043573	-787.9836819654813
324	110.99350323021784	-741.6317006733943
325	74.41442193813072	-741.6317006733943
326	157.345484522305	-787.9836819654813
327	120.76640323021783	-787.9836819654813
328	203.69746581439213	-741.6317006733943
329	167.11838452230498	-741.6317006733943
330	250.04944710647925	-787.9836819654813
331	213.4703658143921	-787.9836819654813
332	296.40142839856634	-741.6317006733943
333	259.82234710647924	-741.6317006733943
334	342.7534096906536	-787.9836819654813
335	306.1743283985664	-787.9836819654813
336	389.1053909827407	-741.6317006733943
337	352.52630969065353	-741.6317006733943
