Exp	frame	abs_C	err	time(s)	field(mT)	time	mT
10.0	250000	0.4597989156177318	0.028145804675849918	2500.0	25.0	2500.0	25.0
10.0	200000	0.4566871940622895	0.028186925742082782	2000.0	25.0	2000.0	20.0
10.0	205000	0.4576030317379868	0.02808151653704074	2050.0	25.0	2050.0	20.5
10.0	210000	0.4566721061214702	0.028089250635574447	2100.0	25.0	2100.0	21.0
10.0	215000	0.4560555818721835	0.0280528389697644	2150.0	25.0	2150.0	21.5
10.0	220000	0.4569879454645314	0.02808735817094061	2200.0	25.0	2200.0	22.0
10.0	225000	0.4579038795593814	0.028164475909352005	2250.0	25.0	2250.0	22.5
10.0	230000	0.457741510923377	0.028141681087967257	2300.0	25.0	2300.0	23.0
10.0	235000	0.4570270554789812	0.028162530584939782	2350.0	25.0	2350.0	23.5
10.0	240000	0.4569924732875196	0.028140396669251555	2400.0	25.0	2400.0	24.0
10.0	245000	0.4594768145686527	0.028244412131909962	2450.0	25.0	2450.0	24.5
10.0	135000	0.4629855774286521	0.02913715066166848	1350.0	16.875	1350.0	13.5
10.0	195000	0.4567593177505351	0.02832082135162975	1950.0	24.375	1950.0	19.5
10.0	130000	0.4613538267180308	0.029111256163356383	1300.0	16.25	1300.0	13.0
10.0	190000	0.4584482577107774	0.02843856622123852	1900.0	23.75	1900.0	19.0
10.0	125000	0.4603505447649493	0.029008661416530787	1250.0	15.625	1250.0	12.5
10.0	120000	0.4577578947362617	0.028947728444884087	1200.0	15.0	1200.0	12.0
10.0	5000	0.37625263157798494	0.024452006336522697	50.0	0.625	50.0	0.5
10.0	10000	0.376452631577988	0.024450496557612417	100.0	1.25	100.0	1.0
10.0	15000	0.376421052630619	0.024463965083307296	150.0	1.875	150.0	1.5
10.0	20000	0.37631578947272143	0.024473273227341073	200.0	2.5	200.0	2.0
10.0	25000	0.37725263157799016	0.024530267069033725	250.0	3.125	250.0	2.5
10.0	30000	0.37787368420956985	0.02454967170651844	300.0	3.75	300.0	3.0
10.0	35000	0.37872631578852345	0.024634242805079764	350.0	4.375	350.0	3.5
10.0	40000	0.3798947368411602	0.02471570881397084	400.0	5.0	400.0	4.0
10.0	45000	0.38143157894642776	0.024805933229093618	450.0	5.625	450.0	4.5
10.0	50000	0.3832210526306485	0.024927020692440405	500.0	6.25	500.0	5.0
10.0	55000	0.3854315789464465	0.02505209033325866	550.0	6.875	550.0	5.5
10.0	0	0.3765368421043059	0.024459914651965974	0.0	0.0	0.0	0.0
10.0	65000	0.3929368421043776	0.025530360071299475	650.0	8.125	650.0	6.5
10.0	70000	0.3980421052622961	0.025850723790284358	700.0	8.75	700.0	7.0
10.0	75000	0.4041578947360107	0.026204041400171862	750.0	9.375	750.0	7.5
10.0	80000	0.4120216853510599	0.02665187247810444	800.0	10.0	800.0	8.0
10.0	85000	0.4194421052623925	0.027050298213183888	850.0	10.625	850.0	8.5
10.0	90000	0.4263578947361095	0.027424993284251603	900.0	11.25	900.0	9.0
10.0	95000	0.43263329648856985	0.02787465199935053	950.0	11.875	950.0	9.5
10.0	100000	0.4390231064785961	0.028158157515401138	1000.0	12.5	1000.0	10.0
10.0	105000	0.4452234328116096	0.028427497066753807	1050.0	13.125	1050.0	10.5
10.0	110000	0.4501184272850234	0.028676119614911795	1100.0	13.75	1100.0	11.0
10.0	115000	0.4540315789467688	0.028836193415413137	1150.0	14.375	1150.0	11.5
10.0	60000	0.3888315789464604	0.025258624801440758	600.0	7.5	600.0	6.0
16.0	70000	0.39804210526226974	0.025733183453962992	700.0	8.75	700.0	7.0
16.0	75000	0.4054631578938928	0.026156610977699	750.0	9.375	750.0	7.5
16.0	80000	0.4132638559916131	0.02665703890492456	800.0	10.0	800.0	8.0
16.0	110000	0.46490526315734404	0.02938355665663255	1100.0	13.75	1100.0	11.0
16.0	90000	0.4315263157887732	0.02769764770972593	900.0	11.25	900.0	9.0
16.0	95000	0.4398631578940708	0.028154980593697733	950.0	11.875	950.0	9.5
16.0	100000	0.4495789473677991	0.02866452830985915	1000.0	12.5	1000.0	10.0
16.0	105000	0.4569473684204575	0.029065365492673582	1050.0	13.125	1050.0	10.5
16.0	85000	0.4214631578939814	0.02710966688675853	850.0	10.625	850.0	8.5
16.0	65000	0.3927157894727678	0.02541402766388327	650.0	8.125	650.0	6.5
16.0	35000	0.3765684210516409	0.024417144785690632	350.0	4.375	350.0	3.5
16.0	55000	0.3833368421043036	0.02488553413138891	550.0	6.875	550.0	5.5
16.0	50000	0.3809894736832408	0.024720963926395924	500.0	6.25	500.0	5.0
16.0	45000	0.3787157894727026	0.02458110857390642	450.0	5.625	450.0	4.5
16.0	40000	0.3772526315779585	0.024475278373353053	400.0	5.0	400.0	4.0
16.0	30000	0.37519999999900616	0.02433451265487033	300.0	3.75	300.0	3.0
16.0	25000	0.3743052631568976	0.02429924986939577	250.0	3.125	250.0	2.5
16.0	20000	0.3737368421042649	0.02426368926125349	200.0	2.5	200.0	2.0
16.0	15000	0.3737684210516321	0.02427097109341475	150.0	1.875	150.0	1.5
16.0	10000	0.3735473684200492	0.024261630891028497	100.0	1.25	100.0	1.0
16.0	5000	0.3731789473674152	0.02424890525660248	50.0	0.625	50.0	0.5
16.0	115000	0.4707405652923815	0.029764179548300324	1150.0	14.375	1150.0	11.5
16.0	60000	0.3876315789464324	0.025131022312917323	600.0	7.5	600.0	6.0
16.0	120000	0.4766777198795	0.029926527691343168	1200.0	15.0	1200.0	12.0
16.0	0	0.3731368421042569	0.024251911761460302	0.0	0.0	0.0	0.0
16.0	130000	0.4858421052626983	0.030238357219182443	1300.0	16.25	1300.0	13.0
16.0	250000	0.5238656700703361	0.030282806354568925	2500.0	25.0	2500.0	25.0
16.0	245000	0.5219537870412049	0.030413767875450574	2450.0	25.0	2450.0	24.5
16.0	240000	0.521370670596669	0.030383664004264656	2400.0	25.0	2400.0	24.0
16.0	235000	0.5195326069790736	0.030397741363850657	2350.0	25.0	2350.0	23.5
16.0	230000	0.5202295099223901	0.030448949617022342	2300.0	25.0	2300.0	23.0
16.0	225000	0.5198441941254555	0.03050085505503803	2250.0	25.0	2250.0	22.5
16.0	220000	0.5196399431486808	0.030492885971032474	2200.0	25.0	2200.0	22.0
16.0	215000	0.5185198831484166	0.030474988667185163	2150.0	25.0	2150.0	21.5
16.0	210000	0.5168605569297824	0.03059635139925037	2100.0	25.0	2100.0	21.0
16.0	205000	0.5182062213797999	0.030628810496931388	2050.0	25.0	2050.0	20.5
16.0	200000	0.5176965996417977	0.030660001465093917	2000.0	25.0	2000.0	20.0
16.0	195000	0.5162271698507686	0.030619311872905362	1950.0	24.375	1950.0	19.5
16.0	190000	0.5159363074085925	0.030657313451817183	1900.0	23.75	1900.0	19.0
16.0	180000	0.5116503065866779	0.03078476269309892	1800.0	22.5	1800.0	18.0
16.0	175000	0.5116117486047989	0.030724040657878943	1750.0	21.875	1750.0	17.5
16.0	170000	0.5091540769591915	0.030736151921916994	1700.0	21.25	1700.0	17.0
16.0	165000	0.5070452930491043	0.030690240949026174	1650.0	20.625	1650.0	16.5
16.0	160000	0.5031422706454362	0.030720696094181	1600.0	20.0	1600.0	16.0
16.0	155000	0.499570973599991	0.030664397437008332	1550.0	19.375	1550.0	15.5
