frame	type	coordination	number	fraction	err	time
6000	Q = -4	4	20.9	0.05789473684210526	0.004034358684201935	60.0
6000	Q = 0	4	136.6	0.37839335180055406	0.007319638479263677	60.0
7000	Q = +1	3	297.7	0.37212500000000004	0.00520766662399453	70.0
7000	Q = +2	4	90.4	0.25041551246537397	0.007284610497992988	70.0
7000	Q = +3	3	101.3	0.126625	0.004522513128781386	70.0
7000	Q = +4	4	21.8	0.060387811634349045	0.004917276807273996	70.0
7000	Q = -1	3	303.7	0.379625	0.0046809676706139865	70.0
7000	Q = -2	4	92.2	0.2554016620498615	0.007197479324064664	70.0
7000	Q = -3	3	97.3	0.12162500000000001	0.0036326547531461816	70.0
7000	Q = -4	4	20.8	0.05761772853185595	0.004083720108494179	70.0
7000	Q = 0	4	135.8	0.37617728531855954	0.007291629555826271	70.0
8000	Q = +1	3	297.4	0.37175	0.005310497988784939	80.0
8000	Q = +2	4	90.3	0.2501385041551247	0.006555863342566942	80.0
8000	Q = +3	3	101.7	0.127125	0.004556931533389545	80.0
8000	Q = +4	4	22.2	0.06149584487534626	0.005301089600889132	80.0
8000	Q = -1	3	302.6	0.37825000000000003	0.0047221405221690585	80.0
8000	Q = -2	4	92.1	0.2551246537396122	0.006915351558025035	80.0
8000	Q = -3	3	98.3	0.122875	0.0037363176316320386	80.0
8000	Q = -4	4	20.9	0.05789473684210526	0.004013169679058307	80.0
8000	Q = 0	4	135.5	0.3753462603878116	0.007343478172016095	80.0
9000	Q = +1	3	297.3	0.371625	0.005290354167938307	90.0
9000	Q = +2	4	90.0	0.24930747922437674	0.006568206553565553	90.0
9000	Q = +3	3	101.5	0.12687500000000002	0.0044769859032364355	90.0
9000	Q = +4	4	22.2	0.061495844875346276	0.0055830901044620395	90.0
9000	Q = -1	3	303.0	0.37875	0.004801620096962643	90.0
9000	Q = -2	4	91.2	0.25263157894736843	0.007279927366362704	90.0
9000	Q = -3	3	98.2	0.12275	0.003725848151018026	90.0
