field	type	mean	err	time
23648.648648648646	Q = -4	0.055999999999999994	0.0027823535434934803	236.48648648648646
23648.648648648646	Q = 0	0.39451051051051056	0.010633748922919673	236.48648648648646
27027.027027027027	Q = +1	0.37028225564810924	0.006356918627912503	270.27027027027026
27027.027027027027	Q = +2	0.24755555555555553	0.011099290486529278	270.27027027027026
27027.027027027027	Q = +3	0.1250434469946665	0.0044569403742087095	270.27027027027026
27027.027027027027	Q = +4	0.054654654654654654	0.0029672884586424667	270.27027027027026
27027.027027027027	Q = -1	0.3818241745071014	0.005018594222497177	270.27027027027026
27027.027027027027	Q = -2	0.24434834834834834	0.007093391155150113	270.27027027027026
27027.027027027027	Q = -3	0.12285012285012284	0.004256824974758512	270.27027027027026
27027.027027027027	Q = -4	0.055987987987987986	0.0029023063830857444	270.27027027027026
