frame	Chi	count	err	time(s)	field(mT)
80000	-0.6	0.1750263157894737	0.0035231100262243867	800.0	10.0
80000	-0.2	0.30144736842105263	0.005070486544209919	800.0	10.0
80000	0.2	0.295921052631579	0.005621683638051717	800.0	10.0
80000	0.6	0.1788684210526316	0.0037399969285107633	800.0	10.0
80000	1.0	0.05031578947368421	0.0021375081636960235	800.0	10.0
85000	-1.0	0.05436842105263158	0.0022688211309926823	850.0	10.625
85000	-0.6	0.17905263157894735	0.0035692910104947293	850.0	10.625
85000	-0.2	0.2933157894736842	0.004830380892768584	850.0	10.625
85000	0.2	0.29176315789473684	0.0056100819919057115	850.0	10.625
85000	0.6	0.1787105263157895	0.003639721021005152	850.0	10.625
85000	1.0	0.05542105263157895	0.0023260319339241	850.0	10.625
90000	-1.0	0.0603421052631579	0.002635617202326289	900.0	11.25
90000	-0.6	0.17942105263157893	0.003920207306568633	900.0	11.25
90000	-0.2	0.2877894736842105	0.004544862459446277	900.0	11.25
90000	0.2	0.28357894736842104	0.005949026887760787	900.0	11.25
90000	0.6	0.18036842105263157	0.0033885091795410253	900.0	11.25
90000	1.0	0.061131578947368426	0.0022481234440594614	900.0	11.25
95000	-1.0	0.06502631578947368	0.0029036212650588025	950.0	11.875
95000	-0.6	0.1811578947368421	0.003983401595313489	950.0	11.875
95000	-0.2	0.2798684210526316	0.004543470663636025	950.0	11.875
95000	0.2	0.28055263157894733	0.005798066321456521	950.0	11.875
95000	0.6	0.17960526315789474	0.003098084239329636	950.0	11.875
95000	1.0	0.06642105263157895	0.002469841840654427	950.0	11.875
100000	-1.0	0.07197368421052631	0.002962837741908524	1000.0	12.5
100000	-0.6	0.18005263157894738	0.003623833955440653	1000.0	12.5
100000	-0.2	0.27371052631578946	0.005023750758444016	1000.0	12.5
100000	0.2	0.27365789473684216	0.005658169503482323	1000.0	12.5
100000	0.6	0.18171052631578946	0.003520862850294349	1000.0	12.5
100000	1.0	0.07152631578947369	0.00248484581073934	1000.0	12.5
105000	-1.0	0.07694736842105263	0.002974727248801142	1050.0	13.125
105000	-0.6	0.17900000000000002	0.004021818497425136	1050.0	13.125
105000	-0.2	0.26949999999999996	0.005248832545330944	1050.0	13.125
105000	0.2	0.2693947368421053	0.005269739440226462	1050.0	13.125
105000	0.6	0.18189473684210528	0.0037097854079707047	1050.0	13.125
105000	1.0	0.07589473684210525	0.0027245136685394387	1050.0	13.125
110000	-1.0	0.08092105263157895	0.0028073042392975623	1100.0	13.75
110000	-0.6	0.18084210526315792	0.004242594050088047	1100.0	13.75
110000	-0.2	0.26413157894736844	0.005522484734176348	1100.0	13.75
110000	0.2	0.2639736842105263	0.005714959645656648	1100.0	13.75
110000	0.6	0.18210526315789474	0.003731096473924661	1100.0	13.75
110000	1.0	0.08065789473684211	0.002654638496258847	1100.0	13.75
115000	-1.0	0.08652631578947369	0.0027453392014666826	1150.0	14.375
115000	-0.6	0.17715789473684213	0.004536084679622079	1150.0	14.375
115000	-0.2	0.26210526315789473	0.004856758754802605	1150.0	14.375
115000	0.2	0.26084210526315793	0.004716180022572721	1150.0	14.375
115000	0.6	0.18126315789473682	0.0032115474419864287	1150.0	14.375
115000	1.0	0.08468421052631579	0.0022662033315027016	1150.0	14.375
120000	-1.0	0.08839473684210526	0.0028103735420729006	1200.0	15.0
120000	-0.6	0.1812105263157895	0.0037007072738082856	1200.0	15.0
120000	-0.2	0.25513157894736843	0.0045983529558660105	1200.0	15.0
120000	0.2	0.2587894736842105	0.004598498945203942	1200.0	15.0
