frame	type	coordination	number	fraction	err	mT
700	Q = -2	4	2.5517241379310347	0.2835249042145593	0.028432998612529337	1.618723806
700	Q = -3	3	3.161290322580645	0.09879032258064516	0.009731869666247719	1.618723806
700	Q = -4	4	1.2857142857142858	0.14285714285714288	0.013921555862016335	1.618723806
700	Q = 0	4	3.4	0.3777777777777778	0.025880273617349354	1.618723806
800	Q = +1	3	12.709677419354838	0.3971774193548387	0.017280785967338893	1.770419044
800	Q = +2	4	2.4482758620689653	0.2720306513409961	0.025019731249347334	1.770419044
800	Q = +3	3	3.6774193548387095	0.11491935483870967	0.009870113375774451	1.770419044
800	Q = +4	4	1.4444444444444444	0.16049382716049385	0.037547916853692714	1.770419044
800	Q = -1	3	12.419354838709678	0.38810483870967744	0.01638117762562749	1.770419044
800	Q = -2	4	2.6551724137931036	0.2950191570881226	0.028266560117515837	1.770419044
800	Q = -3	3	3.193548387096774	0.09979838709677419	0.010492268142470429	1.770419044
800	Q = -4	4	1.2	0.13333333333333336	0.011878277418329971	1.770419044
800	Q = 0	4	3.225806451612903	0.35842293906810035	0.026629642467393133	1.770419044
900	Q = +1	3	13.35483870967742	0.4173387096774194	0.016366696566614842	1.922114282
900	Q = +2	4	2.3448275862068964	0.26053639846743293	0.022919985458358078	1.922114282
900	Q = +3	3	3.3666666666666667	0.10520833333333333	0.00840709097368684	1.922114282
900	Q = +4	4	1.3636363636363635	0.15151515151515155	0.03096911053890079	1.922114282
900	Q = -1	3	12.451612903225806	0.38911290322580644	0.01593039648234262	1.922114282
900	Q = -2	4	2.566666666666667	0.28518518518518515	0.028029932577293026	1.922114282
900	Q = -3	3	3.25	0.1015625	0.011208149855405079	1.922114282
900	Q = -4	4	1.3076923076923077	0.14529914529914534	0.01480385305614425	1.922114282
900	Q = 0	4	3.2903225806451615	0.3655913978494624	0.024815019018987236	1.922114282
1000	Q = +1	3	12.935483870967742	0.40423387096774194	0.016519139825541436	2.07380952
1000	Q = +2	4	2.4827586206896552	0.27586206896551724	0.025040677030537223	2.07380952
1000	Q = +3	3	3.5	0.109375	0.007301922180408089	2.07380952
1000	Q = +4	4	1.5	0.16666666666666669	0.0419960525565808	2.07380952
1000	Q = -1	3	12.870967741935484	0.4022177419354839	0.017374618979095566	2.07380952
1000	Q = -2	4	2.533333333333333	0.28148148148148144	0.027024700206787364	2.07380952
1000	Q = -3	3	3.0	0.09375	0.010632513280967522	2.07380952
1000	Q = -4	4	1.25	0.13888888888888892	0.014506471329641488	2.07380952
1000	Q = 0	4	3.466666666666667	0.38518518518518524	0.024835678692069964	2.07380952
1100	Q = +1	3	13.451612903225806	0.42036290322580644	0.01638531272038618	2.2255047579999996
1100	Q = +2	4	2.392857142857143	0.26587301587301587	0.024473878459220305	2.2255047579999996
1100	Q = +3	3	3.3333333333333335	0.10416666666666667	0.008114954739335023	2.2255047579999996
1100	Q = +4	4	1.5714285714285714	0.17460317460317462	0.04761904761904762	2.2255047579999996
1100	Q = -1	3	12.548387096774194	0.39213709677419356	0.01670266879836453	2.2255047579999996
1100	Q = -2	4	2.5	0.27777777777777773	0.028564839395076678	2.2255047579999996
1100	Q = -3	3	3.0714285714285716	0.09598214285714286	0.010531187373790746	2.2255047579999996
1100	Q = -4	4	1.3333333333333333	0.14814814814814817	0.015792645655971143	2.2255047579999996
1100	Q = 0	4	3.5483870967741935	0.3942652329749104	0.02767062231629933	2.2255047579999996
1200	Q = +1	3	13.580645161290322	0.42439516129032256	0.016252467861378912	2.377199996
1200	Q = +2	4	2.4074074074074074	0.2674897119341563	0.02463854222512193	2.377199996
1200	Q = +3	3	3.1724137931034484	0.09913793103448276	0.00864470945557216	2.377199996
