frame	type	coordination	number	fraction	err	time	mT
28000	Q = -3	3	56.8	0.1221505376344086	0.006106247867827054	280.0	3.5
29000	Q = +1	3	176.2	0.3789247311827957	0.007266710192099895	290.0	3.625
29000	Q = +3	3	55.3	0.11892473118279573	0.0033013846421991264	290.0	3.625
29000	Q = -1	3	176.6	0.3797849462365591	0.005375866167527649	290.0	3.625
29000	Q = -3	3	56.9	0.12236559139784944	0.005880321300305614	290.0	3.625
30000	Q = +1	3	176.2	0.3789247311827957	0.007537456302850133	300.0	3.75
30000	Q = +3	3	55.2	0.11870967741935486	0.0026004813114289685	300.0	3.75
30000	Q = -1	3	177.1	0.3808602150537635	0.005272107815970434	300.0	3.75
30000	Q = -3	3	56.5	0.12150537634408602	0.005799367331951505	300.0	3.75
31000	Q = +1	3	176.5	0.37956989247311823	0.007402973969057431	310.0	3.875
31000	Q = +3	3	55.2	0.11870967741935486	0.002479084797962806	310.0	3.875
31000	Q = -1	3	176.5	0.3795698924731183	0.005020480658033874	310.0	3.875
31000	Q = -3	3	56.8	0.1221505376344086	0.005813085285365818	310.0	3.875
32000	Q = +1	3	177.5	0.3817204301075269	0.006135212461872288	320.0	4.0
32000	Q = +3	3	54.6	0.11741935483870967	0.0029241688966840343	320.0	4.0
32000	Q = -1	3	176.3	0.3791397849462365	0.0044657829755333405	320.0	4.0
32000	Q = -3	3	56.6	0.1217204301075269	0.006193150126582128	320.0	4.0
33000	Q = +1	3	177.6	0.38193548387096776	0.005745509651473518	330.0	4.125
33000	Q = +3	3	54.4	0.11698924731182797	0.003144331498130655	330.0	4.125
33000	Q = -1	3	176.7	0.38	0.0042656847446055435	330.0	4.125
33000	Q = -3	3	56.3	0.12107526881720428	0.006249728607563323	330.0	4.125
34000	Q = +1	3	177.5	0.3817204301075269	0.006168624349294881	340.0	4.25
34000	Q = +3	3	54.7	0.11763440860215055	0.00254555998631752	340.0	4.25
34000	Q = -1	3	176.6	0.3797849462365591	0.0032250098578357	340.0	4.25
34000	Q = -3	3	56.2	0.12086021505376345	0.0060724927840996035	340.0	4.25
35000	Q = +1	3	177.6	0.38193548387096776	0.006316384450727082	350.0	4.375
35000	Q = +3	3	54.5	0.11720430107526884	0.002799372643694143	350.0	4.375
35000	Q = -1	3	176.8	0.3802150537634409	0.0030379383656511964	350.0	4.375
35000	Q = -3	3	56.1	0.12064516129032254	0.006367028156497965	350.0	4.375
36000	Q = +1	3	176.8	0.3802150537634408	0.006055544682994368	360.0	4.5
36000	Q = +3	3	54.6	0.11741935483870967	0.003288127581700276	360.0	4.5
36000	Q = -1	3	177.6	0.38193548387096776	0.0028888088429548176	360.0	4.5
36000	Q = -3	3	56.0	0.1204301075268817	0.006006124750008146	360.0	4.5
37000	Q = +1	3	177.6	0.38193548387096776	0.005798924277034173	370.0	4.625
37000	Q = +3	3	54.5	0.11720430107526884	0.003396518348525343	370.0	4.625
37000	Q = -1	3	177.2	0.3810752688172042	0.003020975986481073	370.0	4.625
37000	Q = -3	3	55.7	0.11978494623655915	0.005525296250191579	370.0	4.625
38000	Q = +1	3	177.6	0.38193548387096776	0.005545255800950172	380.0	4.75
38000	Q = +3	3	54.2	0.11655913978494625	0.0031703719551965572	380.0	4.75
38000	Q = -1	3	178.0	0.3827956989247312	0.0027577611557951737	380.0	4.75
38000	Q = -3	3	55.2	0.11870967741935486	0.005687981197097453	380.0	4.75
39000	Q = +1	3	177.9	0.3825806451612903	0.005330268514701444	390.0	4.875
39000	Q = +3	3	54.1	0.1163440860215054	0.003180889997467209	390.0	4.875
39000	Q = -1	3	177.8	0.3823655913978495	0.0033285123344068512	390.0	4.875
39000	Q = -3	3	55.2	0.11870967741935486	0.005578516547195333	390.0	4.875
40000	Q = +1	3	178.4	0.3836559139784946	0.005394949884509471	400.0	5.0
40000	Q = +3	3	54.2	0.11655913978494625	0.003218630010128121	400.0	5.0
40000	Q = -1	3	177.2	0.38107526881720427	0.00383093597588169	400.0	5.0
40000	Q = -3	3	55.2	0.11870967741935487	0.0058658846008541295	400.0	5.0
